name,email,gender,Status
test,test@12.com,male,1
Allasani,alli.peddana@15ce.com,male,1
Fr. Laal Asanssss,laal_asassssn_fr@collins.org,male,1
Patricia,damomca@gmail.com,female,1
Kanak Ahluwalia,ahluwalia_kanak@thiel.com,female,1
Pushti Somayaji,somayaji_pushti@moen.io,female,0
Msgr. Lakshminath Gill,lakshminath_msgr_gill@quigley.net,female,1
The Hon. Bhaaswar Varma,hon_the_varma_bhaaswar@rogahn.name,female,1
Shrishti Iyengar DO,do_shrishti_iyengar@carter.org,male,1
Vaijayanti Pilla,vaijayanti_pilla@rippin.net,male,1
Abhaidev Kaniyar PhD,kaniyar_phd_abhaidev@jones-stracke.biz,female,0
Jagathi Kapoor,jagathi_kapoor@schuster.org,female,0
Rev. Bhasvan Gupta,rev_gupta_bhasvan@kutch-smitham.biz,female,0
Vasanti Malik LLD,vasanti_lld_malik@fay.com,female,1
Msgr. Deenabandhu Kaul,msgr_deenabandhu_kaul@reinger.io,female,1
Gov. Agastya Nayar,nayar_gov_agastya@abshire-krajcik.name,female,1
Aadi Khan,aadi_khan@jerde.net,female,1
Chandradev Gandhi,chandradev_gandhi@braun-sporer.net,female,1
Bhaswar Adiga CPA,bhaswar_adiga_cpa@kuhlman.com,male,1
Sujata Banerjee,sujata_banerjee@schoen.name,male,0
